model,subject_index,participant_id,alpha_stable,alpha_volatile,delta_log_alpha,beta,rho,side_bias,alpha_general,avoidance,anxiety,insecurity,reappraisal,suppression,maternal_care,maternal_overprotection,paternal_care,paternal_overprotection
M4_block_alpha_full_response,38,13564237,0.493692530271428,0.4057939165898425,-0.045893001112735,3.177528983321,2.334587012,0.42277617668130846,NA,5.125,3.555555556,4.294117647,4.166666667,5.75,29,17,29,15
M4_block_alpha_full_response,39,13566178,0.418461670316761,0.1278778763882565,-2.250386538805325,2.096765632046725,0.8297252499734175,-2.038702046525,NA,4.75,4.111111111,4.411764706,3.333333333,3.5,22,16,18,20
M4_block_alpha_full_response,40,13574435,0.0016026649318354974,0.015121513952729,2.2255849695221825,8.817182222125,-0.08154146816544525,-0.0775468615729055,NA,4.5,5.888888889,5.235294118,6.666666667,5.25,30,9,33,3
M4_block_alpha_full_response,41,13574754,0.2057366873076388,0.546517806433557,1.65040992877645,0.688570689159575,0.3024464084163975,-0.2555252356313725,NA,2.375,2.666666667,2.529411765,3.666666667,1,21,25,34,12
M4_block_alpha_full_response,42,13575611,0.0986164013999617,0.159588634255624,1.3651533390777475,1.751391979201475,0.0820930026708455,-0.073517592738707,NA,4.125,4.444444444,4.294117647,2.833333333,2,14,15,17,22
M4_block_alpha_full_response,43,13575855,0.240162330194375,0.7551927541025,1.35112275399023,3.87058408946,1.59428333505,0.0955760134746555,NA,2.25,5.444444444,3.941176471,4.5,1.75,26,18,7,28
M4_block_alpha_full_response,44,13576062,0.5557047469030972,0.84029408688432,0.628440008223125,2.60541377367925,1.6531645052775,0.04940936043052325,NA,3.375,5.333333333,4.411764706,2.666666667,1,30,4,36,9
M4_block_alpha_full_response,45,13576659,0.42461646636147227,0.552042570860555,0.5540493364790062,1.909245651982,2.081619091675,0.0693190674168925,NA,3.875,4.666666667,4.294117647,3.333333333,3.75,34,3,26,9
M4_block_alpha_full_response,46,13577320,0.269002350473125,0.57949592254325,0.8894789042451275,3.828967053525,0.395618101907877,-0.29531130983141,NA,3.625,5.444444444,4.588235294,5.5,1.75,18,15,13,15
M4_block_alpha_full_response,47,13577820,0.26850560268347523,0.090919854120882,-2.2324209450541224,1.242049314463375,1.138696056465,-0.36446267457605935,NA,4.25,2.888888889,3.529411765,5.666666667,4.25,20,1,9,8
M4_block_alpha_full_response,48,13577827,0.3214566445894366,0.370092610467883,0.3998184336519975,0.072125601108367493,-0.0217197717067325,-0.1081228909647125,NA,2.875,2.888888889,2.882352941,6.5,5,36,6,34,3
M4_block_alpha_full_response,49,13583027,0.2665408365635874,0.31639077936719273,0.406139645096845,0.1237843744233725,-0.14717052988532,0.2287228634605675,NA,2.875,3.555555556,3.235294118,5.333333333,4.25,25,14,24,12
M4_block_alpha_full_response,50,13584631,0.24723168584428068,0.572622288182868,1.2092060300948972,2.187532462535,-0.15526877566541875,-0.011552388509414,NA,4.75,2.777777778,3.705882353,5.166666667,5,21,25,23,21
M4_block_alpha_full_response,51,13584969,0.23259109689975,0.030471559795380326,-2.379660607657525,3.051729113335,0.2969146248195575,0.4211741441040975,NA,4.625,4.666666667,4.647058824,3.833333333,3.75,33,4,14,17
M4_block_alpha_full_response,52,13585333,0.21089937834975,0.10491225326550845,-1.82021416789369,6.297848138375,-0.06374726332505636,0.197012399384123,NA,1.75,3.888888889,2.882352941,5.833333333,2.25,36,8,36,5
M4_block_alpha_full_response,53,13586484,0.24235068478854516,0.3478647954292187,0.5345880040376775,0.39220768204275003,0.149438543639595,0.054000008520867,NA,3,2.777777778,2.882352941,5.333333333,4,26,20,23,17
M4_block_alpha_full_response,54,13588120,0.2616755595850361,0.31049626087535676,0.4697201327598,0.15029471582715,0.21047121778383426,-0.069560682039266,NA,3.875,2.222222222,3,3.333333333,3.75,33,7,32,7
M4_block_alpha_full_response,55,13588921,0.3909299023079475,0.5884856808138925,0.5061967028897173,1.9541437431878,1.717556166095,-0.2843808463820525,NA,4.5,2.888888889,3.647058824,3,4.75,29,23,12,25
M4_block_alpha_full_response,56,13589585,0.2938968999885835,0.28590876180897823,-0.15312109163205,0.2551986000481225,0.355388363364215,-0.90314428205,NA,5.125,3.222222222,4.117647059,5.333333333,4.5,35,4,33,8
M4_block_alpha_full_response,57,13590898,0.31716320385770075,0.31667559622263247,0.086263757265445,0.1035574353164125,-0.07252342291436174,-0.4723708810161,NA,5.125,4.888888889,5,5.166666667,6.25,17,21,11,15
M4_block_alpha_full_response,58,13592435,0.142598672504525,0.04649298958197675,-1.1671720180647,3.3970422639075,0.15073942562869,-0.2373979075857225,NA,5.875,2.888888889,4.294117647,4.5,7,5,16,18,18
M4_block_alpha_full_response,59,13594080,0.10979108939725,0.0578943602368025,-0.6858229500679075,11.2804318666,0.830956614970225,-0.303907607186005,NA,5.125,3.777777778,4.411764706,5.333333333,4.75,32,16,8,23
M4_block_alpha_full_response,60,13594097,0.53322383234375,0.4423618647738575,-0.230600287863605,9.4554932375,0.108490559502336,0.3261479009179775,NA,3.125,4.888888889,4.058823529,5.166666667,3.25,21,24,9,12
M4_block_alpha_full_response,61,13596760,0.013821323043216744,0.239698104081075,3.9169825858865,6.599393235775,0.26902499153934,-0.0854878666228875,NA,4.625,3.888888889,4.235294118,4.333333333,4,30,23,20,21
M4_block_alpha_full_response,62,13597838,0.37088687949141474,0.362370870191808,0.09082426301944,0.251703720260875,0.6040023249575,-0.022749222001365,NA,1.25,2,1.647058824,6.666666667,1.25,36,3,34,1
M4_block_alpha_full_response,63,13598869,0.913907385125,0.904538386015,-0.011037704289025424,4.544646633575,0.935821673239,-0.2284001302603075,NA,5.25,3.222222222,4.176470588,3.166666667,5,26,12,19,7
M4_block_alpha_full_response,64,13599077,0.5841904042933798,0.64937809193578655,0.43530014157194175,1.13424627779675,0.451464513726555,-0.15852385592979926,NA,6.625,4.666666667,5.588235294,3.666666667,7,11,33,8,5
M4_block_alpha_full_response,65,13604099,0.347083241547275,0.13325746885466574,-1.203997687866975,2.12660657325625,1.0272882247575,-0.5068702310933,NA,4.25,3.888888889,4.058823529,6,4.5,21,12,7,30
M7_single_alpha_full_response,1,13531305,NA,NA,NA,1.8844546823105,0.81457288253275,-2.0888255145175,0.6309908309568985,4.25,3.444444444,3.823529412,5.333333333,5.5,28,20,33,3
M7_single_alpha_full_response,2,13531717,NA,NA,NA,0.6243053863057725,0.02310852581743275,-0.69588996373625,0.18078008376202562,2.875,2.888888889,2.882352941,5.833333333,6.25,30,14,17,9
M7_single_alpha_full_response,3,13533233,NA,NA,NA,3.61201353583,-0.0512680393056615,0.1600761851554625,0.010887483847998758,4.25,4.777777778,4.529411765,3.333333333,5.75,32,4,26,0
M7_single_alpha_full_response,4,13535036,NA,NA,NA,4.1517825065,1.813708506065,0.14157767121974274,0.7295471713025,4.875,6.333333333,5.647058824,1.833333333,3,26,5,21,7
M7_single_alpha_full_response,5,13535312,NA,NA,NA,0.694804590744925,0.04212528683077282,-0.10365111700169077,0.3160878436589636,3.25,3.333333333,3.294117647,5.166666667,5,34,7,15,1
M7_single_alpha_full_response,6,13536005,NA,NA,NA,2.324301089415,1.294754915035,0.145471993076596,0.90766381722275,2.5,2.888888889,2.705882353,4.166666667,4.5,36,7,21,19
